bugzilla,columba,jdt,mozilla,platform,postgres
3442.823861,703.4441267,130.5,4539.209656,462.9666667,463.25
3551.68204,706.5690058,2388.5,2417.287537,571.597619,425.2838023
3557.566693,710.9745466,624,1491.25,1008.8,564.8666667
3545.661401,703.206127,3545.083333,710.8894155,1154.480392,1032.121693
3565.195578,699.1791956,3841.5,1531.833333,467.6559524,176.5
3558.675821,702.5495998,3320.55,2515.972222,665.3636364,243.7142857
3555.651595,703.3309907,1901.553175,2616,740.5,882
3540.518966,702.3780154,3373.666667,792.9555556,544,1080.630159
3556.939233,702.0121029,744.5,1073.626716,552.3166667,105.5
3558.954284,695.3903556,5339.416667,1852.225724,727.4166667,56
3557.99314,702.3322516,2096.166667,1200.018434,9.25,109
3551.55327,699.7308572,3430.069048,3127.208333,381.475,159.6875
3551.026924,702.0024379,1154.727381,498.7604895,141.5,653.4063492
3556.67155,700.4200859,3395.05873,578.0997268,1211.416667,551.5
3560.51556,703.3449188,1168.791667,2207.615927,558.4833333,454.4328571
3545.627925,703.5980771,2608,1084,396.5113095,221
3558.39351,703.2777424,1289.7,1054.854377,876,512.3636364
3556.018856,655.0271032,2137.183333,450.8404762,1378.7,430
3545.249667,680.6337752,2520.178175,229.6111111,785.2915344,690.5333333
3554.091557,695.5126167,951.8333333,586.2919463,215.0833333,575.66
3566.014456,700.8770108,2760.779762,1277.833333,1037.133333,493.5583333
3555.178015,695.9573778,2361.633333,84.5,1397.333333,1005.144444
3548.525169,697.0765047,24,465.0833333,215.9115942,762.7416667
3553.84521,695.7383997,1335.841667,627.45,253,429.8675926
3565.169588,696.8754285,280.75,2048.1,398.1666667,393.1
3550.673663,695.6721279,874.6666667,425.9126847,912.6071429,300.4060606
3550.260906,696.6223174,6679.316667,1427.2,1331.805952,567
3552.049204,701.9996302,4044.25,1302.566667,664.3333333,782.6154762
3553.554693,692.3171594,7114.25,173,273.2422619,1336.084524
3554.448675,695.1669389,2562.657143,1412.555556,706.9785714,446.0822581
3549.793746,702.4283728,4107.742857,1152.416667,669.8758503,318.3333333
3541.192676,696.2371007,6569.344444,1705.145269,198.625,517.5
